dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y2008;LAM;NA;0.2;0.19;0.22;0.19
y2008;MEA;NA;0.12;0.11;0.12;0.11
y2008;NAM;NA;0.29;0.28;0.26;0.25
y2008;PAO;NA;0.25;0.25;0.22;0.23
y2008;PAS;NA;0.12;0.11;0.13;0.14
y2008;SAS;NA;0.1;0.09;0.1;0.08
y2009;AFR;NA;0.09;0.09;0.09;0.08
y2009;CPA;NA;0.19;0.15;0.18;0.24
y2009;EUR;NA;0.29;0.28;0.27;0.27
y2009;FSU;NA;0.28;0.25;0.23;0.25
y2009;LAM;NA;0.21;0.19;0.22;0.19
y2009;MEA;NA;0.12;0.11;0.12;0.11
y2009;NAM;NA;0.29;0.28;0.26;0.25
y2009;PAO;NA;0.25;0.25;0.22;0.23
y2009;PAS;NA;0.13;0.11;0.13;0.15
y2009;SAS;NA;0.1;0.09;0.11;0.08
y2010;AFR;NA;0.1;0.09;0.09;0.08
y2010;CPA;NA;0.19;0.15;0.18;0.25
y2010;EUR;NA;0.29;0.28;0.27;0.27
y2010;FSU;NA;0.28;0.25;0.23;0.25
