dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y2008;CPA;2277;1732;934;1214;2406
y2008;EUR;26548;26646;24453;26831;27696
y2008;FSU;4450;5010;3979;3114;3900
y2008;LAM;5505;7277;5524;7382;5573
y2008;MEA;4408;5005;3878;4529;3526
y2008;NAM;42530;42045;38664;41280;45682
y2008;PAO;36419;37764;37526;42356;39398
y2008;PAS;3865;4663;3365;5044;6394
y2008;SAS;850;846;627;892;555
y2009;AFR;1010;1315;973;1247;945
y2009;CPA;2470;1861;967;1269;2595
y2009;EUR;25318;27170;24781;27457;28294
y2009;FSU;4135;5303;4076;3241;3985
y2009;LAM;5327;7662;5639;7690;5661
y2009;MEA;4425;5225;3933;4687;3555
y2009;NAM;41030;42668;39049;41993;46481
y2009;PAO;34486;38287;38006;43274;39954
y2009;PAS;3847;4919;3448;5251;6705
y2009;SAS;907;890;642;939;569
y2010;AFR;1032;1360;989;1295;954
y2010;CPA;2707;1989;999;1324;2781
y2010;EUR;25726;27692;25106;28078;28890
y2010;FSU;4308;5596;4172;3367;4069
y2010;LAM;5584;8038;5750;7991;5747
y2010;MEA;4543;5436;3986;4838;3583
y2010;NAM;41824;43281;39427;42695;47267
y2010;PAO;36267;38806;38483;44186;40508
y2010;PAS;4053;5169;3528;5454;7009
y2010;SAS;973;933;656;985;583
y2015;AFR;NA;1730;1151;1644;1064
y2015;CPA;NA;3222;1181;1682;3738
y2015;EUR;NA;30939;26836;31688;30880
y2015;FSU;NA;7949;4706;4386;4929
y2015;LAM;NA;11280;6298;9850;6621
y2015;MEA;NA;7238;4532;5818;3832
y2015;NAM;NA;46861;41272;46737;49066
y2015;PAO;NA;41960;39584;47946;42516
y2015;PAS;NA;7323;4019;6742;8734
y2015;SAS;NA;1307;745;1318;735
y2020;AFR;NA;2035;1377;2200;1198
y2020;CPA;NA;4427;1377;2172;5044
y2020;EUR;NA;34162;28804;35452;33105
y2020;FSU;NA;10318;5557;5880;5999
y2020;LAM;NA;14245;6940;12156;7678
y2020;MEA;NA;8717;5141;7241;4136
y2020;NAM;NA;50128;43233;50322;51079
y2020;PAO;NA;45225;41040;51739;44848
y2020;PAS;NA;9299;4602;8400;10943
y2020;SAS;NA;1644;850;1799;932
y2025;AFR;NA;2603;1688;2961;1466
y2025;CPA;NA;7268;1571;2758;6275
y2025;EUR;NA;38543;30944;39423;34909
y2025;FSU;NA;14754;6833;7775;7718
y2025;LAM;NA;20156;7649;14783;9243
y2025;MEA;NA;11590;5798;8989;4746
y2025;NAM;NA;54284;45227;53198;52156
y2025;PAO;NA;49166;42679;55167;46546
y2025;PAS;NA;13246;5262;10355;12862
y2025;SAS;NA;2327;972;2443;1239
y2030;AFR;NA;3124;2075;4035;1815
y2030;CPA;NA;10152;1893;3544;7875
y2030;EUR;NA;42934;33359;43473;37065
y2030;FSU;NA;19231;8133;10131;9943
y2030;LAM;NA;25774;8773;17860;11164
y2030;MEA;NA;14097;6748;11314;5481
y2030;NAM;NA;58266;47884;55782;54190
y2030;PAO;NA;53093;44901;58381;48618
y2030;PAS;NA;16983;6266;12583;15127
y2030;SAS;NA;2975;1160;3331;1659
y2035;AFR;NA;5960;2423;5434;2364
y2035;CPA;NA;13607;2180;4503;9201
y2035;EUR;NA;48374;35760;47549;39125
y2035;FSU;NA;25766;9331;12970;12817
y2035;LAM;NA;30901;9734;21188;13383
y2035;MEA;NA;19004;7452;14125;6654
y2035;NAM;NA;63197;50404;58190;56804
y2035;PAO;NA;57479;47018;62091;50218
y2035;PAS;NA;22626;7150;15005;16959
y2035;SAS;NA;3967;1331;4480;2199
y2040;AFR;NA;8560;2728;7240;3120
y2040;CPA;NA;17236;2448;5630;10776
y2040;EUR;NA;53993;38236;51938;41548
y2040;FSU;NA;32504;10463;16512;16544
y2040;LAM;NA;35964;10578;24949;16133
y2040;MEA;NA;23406;7985;17554;8148
y2040;NAM;NA;68062;52828;61364;59724
y2040;PAO;NA;62136;49259;66449;51820
y2040;PAS;NA;28152;7954;17861;19132
y2040;SAS;NA;4932;1488;5988;2931
y2045;AFR;NA;10980;3002;9308;4037
y2045;CPA;NA;21122;2699;6911;12351
y2045;EUR;NA;59849;40781;56635;43891
y2045;FSU;NA;39555;11535;20612;20453
y2045;LAM;NA;41064;11328;28856;18773
y2045;MEA;NA;27448;8391;21364;9857
y2045;NAM;NA;72910;55091;65182;62466
y2045;PAO;NA;67096;51633;70034;53266
y2045;PAS;NA;33700;8692;20814;20904
y2045;SAS;NA;5892;1636;7770;3695
y2050;AFR;NA;13291;3258;11672;5239
y2050;CPA;NA;25378;2930;8576;14218
y2050;EUR;NA;65987;43344;61997;46559
y2050;FSU;NA;47012;12526;25445;25271
y2050;LAM;NA;46316;11993;33087;21939
y2050;MEA;NA;31262;8703;25632;11984
y2050;NAM;NA;77724;57128;69369;65311
y2050;PAO;NA;72292;54027;73220;54813
y2050;PAS;NA;39393;9374;24142;22926
y2050;SAS;NA;6872;1778;9863;4680
y2055;AFR;NA;17423;3818;14012;6385
y2055;CPA;NA;30130;3484;10395;15799
y2055;EUR;NA;74213;47256;67522;49276
y2055;FSU;NA;55426;14636;30606;29727
y2055;LAM;NA;52193;13600;37085;24717
y2055;MEA;NA;35036;9711;29826;13729
y2055;NAM;NA;85378;61188;73378;67816
y2055;PAO;NA;78403;57411;76409;56497
y2055;PAS;NA;52114;10777;27354;24792
y2055;SAS;NA;9050;2061;11945;5535
y2060;AFR;NA;21508;4356;16660;7837
y2060;CPA;NA;35394;3986;12515;17539
y2060;EUR;NA;82761;51025;73268;52405
y2060;FSU;NA;64284;16563;35886;34806
y2060;LAM;NA;58401;15034;41031;27961
y2060;MEA;NA;38795;10556;34412;15833
y2060;NAM;NA;92745;64769;76427;70458
y2060;PAO;NA;84608;60600;79064;57928
y2060;PAS;NA;65350;12076;30807;26682
y2060;SAS;NA;11308;2335;14090;6574
y2065;AFR;NA;25640;4884;19622;9087
y2065;CPA;NA;41192;4443;15028;19268
y2065;EUR;NA;91583;54604;78646;55988
y2065;FSU;NA;73630;18335;41479;39157
y2065;LAM;NA;65018;16323;44566;30644
y2065;MEA;NA;42598;11285;39297;17277
y2065;NAM;NA;99714;67869;78800;73837
y2065;PAO;NA;91033;63569;82035;59256
y2065;PAS;NA;79311;13292;34098;28463
y2065;SAS;NA;13685;2604;16085;7409
y2070;AFR;NA;29900;5416;23342;10596
y2070;CPA;NA;47556;4862;18267;21165
y2070;EUR;NA;100533;57961;84339;59720
y2070;FSU;NA;83570;19974;48052;44034
y2070;LAM;NA;72089;17486;48501;33646
y2070;MEA;NA;46518;11937;45298;18921
y2070;NAM;NA;106232;70519;81450;77419
y2070;PAO;NA;97706;66351;84992;61044
y2070;PAS;NA;94205;14448;38085;30444
y2070;SAS;NA;16231;2873;18308;8370
y2075;AFR;NA;34394;5969;27250;11711
y2075;CPA;NA;54565;5249;22211;22824
y2075;EUR;NA;109565;61085;91183;63045
y2075;FSU;NA;94144;21499;55631;47742
y2075;LAM;NA;79687;18539;52539;36035
y2075;MEA;NA;50616;12546;51317;19965
y2075;NAM;NA;112354;72759;85161;80796
y2075;PAO;NA;104664;68932;87870;62386
y2075;PAS;NA;110253;15566;42049;32340
y2075;SAS;NA;19000;3147;20460;9152
y2080;AFR;NA;39715;6823;31749;12999
y2080;CPA;NA;63073;6122;27060;24605
